index;Type;NP;Answer;RT;Item;Correct;Participant;Source
287;filler_no;компетентный грот;Нет;905;компетентный;1;4;Yandex Toloka
288;filler_no;ликующая печь;Нет;1404;ликующая;1;4;Yandex Toloka
289;filler_yes;умный друг;Да;826;умный;1;4;Yandex Toloka
290;filler_no;круглосуточное тесто;Нет;859;круглосуточное;1;4;Yandex Toloka
291;filler_no;цветущая помада;Нет;1145;цветущая;1;4;Yandex Toloka
292;filler_yes;гнилой томат;Да;1077;гнилой;1;4;Yandex Toloka
293;filler_no;торопливый комок;Нет;1002;торопливый;1;4;Yandex Toloka
294;filler_no;бюджетный вирус;Нет;3976;бюджетный;1;4;Yandex Toloka
295;filler_yes;хороший ученик;Да;1306;хороший;1;4;Yandex Toloka
296;filler_no;щедрый факел;Нет;2613;щедрый;1;4;Yandex Toloka
297;filler_no;выпускной цвет;Нет;2302;выпускной;1;4;Yandex Toloka
298;literal_m;острые ножи;Да;933;острые;1;4;Yandex Toloka
299;filler_yes;деревянная лавочка;Да;1176;деревянная;1;4;Yandex Toloka
300;metaphor;ледяной кофе;Да;5007;ледяной;1;4;Yandex Toloka
301;bleaching;тяжёлый кашель;Да;1720;тяжёлый;1;4;Yandex Toloka
302;literal_b;лёгкая куртка;Да;926;лёгкая;1;4;Yandex Toloka
303;filler_no;женатый отчет;Нет;1045;женатый;1;4;Yandex Toloka
304;filler_no;зеркальная сигарета;Нет;1167;зеркальная;1;4;Yandex Toloka
305;filler_yes;свежие новости;Да;845;свежие;1;4;Yandex Toloka
306;filler_no;отсталый снег;Нет;1286;отсталый;1;4;Yandex Toloka
307;filler_no;мозговая сирень;Нет;1006;мозговая;1;4;Yandex Toloka
308;filler_yes;тёплая погода;Да;1096;тёплая;1;4;Yandex Toloka
309;filler_no;влиятельный сад;Нет;1001;влиятельный;1;4;Yandex Toloka
310;filler_no;благодарная карета;Нет;1069;благодарная;1;4;Yandex Toloka
311;filler_yes;газовая печка;Да;1350;газовая;1;4;Yandex Toloka
312;filler_no;ядовитый престиж;Нет;1202;ядовитый;1;4;Yandex Toloka
313;filler_no;консервная пьеса;Нет;1288;консервная;1;4;Yandex Toloka
314;literal_m;горький вкус;Да;1707;горький;1;4;Yandex Toloka
315;filler_yes;белые носки;Да;1167;белые;1;4;Yandex Toloka
316;metaphor;грязная ложь;Да;1834;грязная;1;4;Yandex Toloka
317;bleaching;бешеный голод;Нет;3651;бешеный;0;4;Yandex Toloka
318;literal_b;глубокий овраг;Да;1138;глубокий;1;4;Yandex Toloka
319;filler_no;включенный комод;Нет;1322;включенный;1;4;Yandex Toloka
320;filler_no;консервная пьеса;Нет;3650;консервная;1;5;Yandex Toloka
321;filler_no;здравый паспорт;Нет;1564;здравый;1;5;Yandex Toloka
322;filler_yes;тёплая погода;Да;1156;тёплая;1;5;Yandex Toloka
323;filler_no;томатный приют;Да;2037;томатный;0;5;Yandex Toloka
324;filler_no;усатая корзина;Нет;1397;усатая;1;5;Yandex Toloka
325;filler_yes;зелёная ручка;Да;1419;зелёная;1;5;Yandex Toloka
326;filler_no;мозговая сирень;Нет;2260;мозговая;1;5;Yandex Toloka
327;filler_no;круглосуточное тесто;Нет;1668;круглосуточное;1;5;Yandex Toloka
328;filler_yes;газовая печка;Да;2638;газовая;1;5;Yandex Toloka
329;filler_no;выпускной цвет;Нет;1501;выпускной;1;5;Yandex Toloka
330;metaphor;сладкая слава;Нет;1749;сладкая;0;5;Yandex Toloka
331;bleaching;страшная жажда;Да;2133;страшная;1;5;Yandex Toloka
332;filler_no;гордый мрамор;Да;2577;гордый;0;5;Yandex Toloka
333;filler_yes;гнилой томат;Да;1996;гнилой;1;5;Yandex Toloka
334;literal_b;крепкие зубы;Да;3669;крепкие;1;5;Yandex Toloka
335;literal_m;горький вкус;Да;1213;горький;1;5;Yandex Toloka
336;filler_no;цветущая помада;Нет;1853;цветущая;1;5;Yandex Toloka
337;filler_no;литровый диван;Нет;1516;литровый;1;5;Yandex Toloka
338;filler_yes;свежие новости;Да;1390;свежие;1;5;Yandex Toloka
339;filler_no;тревожный кошелёк;Да;1810;тревожный;0;5;Yandex Toloka
340;filler_no;отсталый снег;Нет;1597;отсталый;1;5;Yandex Toloka
341;filler_yes;вкусный помидор;Да;1212;вкусный;1;5;Yandex Toloka
342;filler_no;торопливый комок;Нет;1802;торопливый;1;5;Yandex Toloka
343;filler_no;хвойная сплетня;Нет;1970;хвойная;1;5;Yandex Toloka
344;filler_yes;влажная трава;Да;2420;влажная;1;5;Yandex Toloka
345;filler_no;талый туризм;Нет;2845;талый;1;5;Yandex Toloka
346;metaphor;горячая битва;Да;3653;горячая;1;5;Yandex Toloka
347;bleaching;тяжёлый кашель;Да;1548;тяжёлый;1;5;Yandex Toloka
348;filler_no;ядовитый престиж;Нет;2454;ядовитый;1;5;Yandex Toloka
349;filler_yes;умный друг;Да;2425;умный;1;5;Yandex Toloka
350;literal_b;безумные ученые;Да;2228;безумные;1;5;Yandex Toloka
351;literal_m;холодный склад;Да;2313;холодный;1;5;Yandex Toloka
352;filler_no;компетентный грот;Нет;3196;компетентный;1;5;Yandex Toloka
353;filler_no;благодарная карета;Нет;2686;благодарная;1;5;Yandex Toloka
354;filler_yes;известный актёр;Да;1254;известный;1;5;Yandex Toloka
355;filler_no;честный крюк;Нет;2437;честный;1;5;Yandex Toloka
356;filler_no;женатый отчет;Нет;1461;женатый;1;5;Yandex Toloka
357;filler_yes;деревянная лавочка;Да;2237;деревянная;1;5;Yandex Toloka
358;filler_no;сутулая камера;Нет;1501;сутулая;1;5;Yandex Toloka
359;filler_no;ликующая печь;Нет;2852;ликующая;1;5;Yandex Toloka
